term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Afghanistan Asylum,Rights groups warn that the charges set a worrying precedent and are part of a strategy by Greek authorities to deter migrants from attempting to travel to the country.,ATHENS — Greek authorities have charged an Afghan man in the death of his 6-year-old son as the pair tried to reach the country by sea  a move that rights groups say sets a worrying precedent in criminalizing migrants and is part of a strategy to dissuade them from attempting to travel to the country.,Rights groups warn that the charges set a worrying precedent and are part of a strategy by Greek authorities to deter migrants from attempting to travel to the country.,The New York Times,10,Asylum Seeker Who Lost His Son on Trek to Greece Is Charged in His Death,Asylum Seeker Faces Charges in Son’s Death at Sea,2020-11-18T17:53:49+0000,Foreign,World,article,https://www.nytimes.com/2020/11/18/world/europe/asylum-seeker-son-greece.html,News,,nyt://article/030172f5-c1c5-5a15-b08a-dd69ead818ff
Afghanistan Asylum,Prosecutors said Elin Ersson had violated the Swedish aviation act by remaining standing on takeoff. But she vowed to continue her campaign.,STOCKHOLM — Swedish prosecutors have indicted a woman who in July staged a standoff to prevent the deportation of a rejected asylum seeker to Afghanistan by refusing to take her seat on the flight.,Prosecutors said Elin Ersson had violated the Swedish aviation act by remaining standing on takeoff. But she vowed to continue her campaign.,The New York Times,4,Sweden Indicts Woman Who Tried to Block Afghan Man’s Deportation on Flight,Sweden Indicts Protester of Afghan’s Deportation,2018-10-20T15:19:00+0000,Foreign,World,article,https://www.nytimes.com/2018/10/20/world/europe/sweden-elin-ersson-deportation.html,News,,nyt://article/7eb5af66-3b0e-542f-9b92-44c481393a2b
Afghanistan Asylum,Sexual violence by refugees raises an uncomfortable question: Is it possible to defend both pluralism and women’s rights?,Berlin — A brutal murder case has gripped Germany: On June 6 the body of a 14-year-old girl  Susanna Maria Feldmann  was found in Wiesbaden. She had been raped and strangled. Two days later her alleged assailant  Ali Bashar  a 20-year-old asylum seeker from Iraq  was apprehended in Iraqi Kurdistan  where he had fled. He reportedly confessed to the murder.,Sexual violence by refugees raises an uncomfortable question: Is it possible to defend both pluralism and women’s rights?,The New York Times,,The German Feminists’ Dilemma,,2018-06-12T19:00:04+0000,OpEd,Opinion,article,https://www.nytimes.com/2018/06/12/opinion/the-german-feminists-dilemma.html,Op-Ed,,nyt://article/4ae5bd4c-db28-54fd-8e01-43bdf714cee7
Afghanistan Asylum,Amnesty International said European countries had returned about 10 000 Afghan asylum seekers to escalating violence and an acute humanitarian crisis.,KABUL  Afghanistan — After the northern Afghan city of Kunduz fell to the Taliban in 2015  Naqibullah  23  set off for Europe. He had worked as a contracted mechanic for the Afghan forces  and he knew the Taliban would come for him. He spent $8 000  and risked getting shot by Iranian border guards and braving turbulent Mediterranean waters to reach Germany.,Amnesty International said European countries had returned about 10 000 Afghan asylum seekers to escalating violence and an acute humanitarian crisis.,The New York Times,,Europe Is Called ‘Willfully Blind’ to Risks Afghan Deportees Face,,2017-10-05T09:48:11+0000,Foreign,World,article,https://www.nytimes.com/2017/10/05/world/asia/afghan-refugees-deported.html,News,,nyt://article/fba0c365-239d-5dd3-a1c4-85df2f13fc95
Afghanistan Asylum,Here’s what you need to know to start your day.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know to start your day.,The New York Times,,Catalonia  Las Vegas  Google: Your Thursday Briefing,,2017-10-05T04:01:45+0000,NYTNow,Briefing,article,https://www.nytimes.com/2017/10/05/briefing/catalonia-las-vegas-google.html,briefing,,nyt://article/51994416-d682-5f67-8f45-358cac46dcd3
Afghanistan Asylum,Here’s what you need to know to start your day.,(Want to get this briefing by email? Here’s the sign-up.),Here’s what you need to know to start your day.,The New York Times,,Climate Change  Kabul  Theresa May: Your Thursday Briefing,,2017-06-01T04:09:18+0000,NYTNow,Briefing,article,https://www.nytimes.com/2017/06/01/briefing/climate-change-kabul-theresa-may.html,briefing,,nyt://article/dafafef7-5d59-5e29-be74-91cb61c4a964
Afghanistan Asylum,Here’s what you need to know to start your day.,Good morning.,Here’s what you need to know to start your day.,The New York Times,,Aleppo  Donald Trump  EgyptAir: Your Friday Briefing,,2016-12-16T05:02:47+0000,NYTNow,Briefing,article,https://www.nytimes.com/2016/12/16/briefing/europe-briefing.html,briefing,,nyt://article/fb876d03-f3ae-512b-9513-c4c888d5b057
Afghanistan Asylum,Massoud Mosavi  7  and his family were deported from Norway. But he speaks Norwegian and English  and remembers nothing of his native country.,KABUL  Afghanistan — Massoud Mosavi is a bright and funny little kid  although these days he is in grim humor. He speaks English well enough that he was able to be interviewed without an interpreter even though he is only 7 — and an Afghan for whom English is his second language.,Massoud Mosavi  7  and his family were deported from Norway. But he speaks Norwegian and English  and remembers nothing of his native country.,The New York Times,14,A Deported Afghan Boy Returns to a Land Nothing Like Home,Afghan Boy Returns to a Land Nothing Like Home,2016-11-12T15:06:44+0000,Foreign,World,article,https://www.nytimes.com/2016/11/13/world/asia/a-deported-afghan-boy-returns-to-a-land-nothing-like-home.html,News,,nyt://article/500efbcc-ef1d-5755-aefc-0935119dffa6
Afghanistan Asylum,The conditions of refugee detention centers on remote islands are a national disgrace. But can shame force reform?,SYDNEY  Australia — In Dante’s view  the unfortunate souls who dwell in purgatory may suffer excruciating pain  but the promise of their final destination is clear: paradise. Those who languish on the remote  tiny islands — Manus and Nauru — that host Australia’s offshore immigration detention centers are not so lucky.,The conditions of refugee detention centers on remote islands are a national disgrace. But can shame force reform?,The New York Times,,Australia’s Gulag Archipelago,Australia’s Gulag Archipelago,2016-08-30T10:42:57+0000,OpEd,Opinion,article,https://www.nytimes.com/2016/08/31/opinion/australias-gulag-archipelago.html,Op-Ed,,nyt://article/9cf1d7c1-5323-52c7-a57e-15ea7ba4e220
Afghanistan Asylum,The Greek riot police forcibly removed protesters from train tracks at a border camp after Macedonia blocked Afghans from seeking political asylum.,PARIS — A decision by the Macedonian authorities to block thousands of Afghan asylum seekers from crossing into the country from Greece set off clashes between migrants and the police on Tuesday  highlighting the challenges facing European nations as they seek to check the flow of people to the Continent.,The Greek riot police forcibly removed protesters from train tracks at a border camp after Macedonia blocked Afghans from seeking political asylum.,The New York Times,7,Policy Shifts on Refugees Lead to Clashes Between Migrants and Police,Clashes Erupt in Greece as Macedonia Bars Afghan Asylum Seekers,2016-02-23T16:08:57+0000,Foreign,World,article,https://www.nytimes.com/2016/02/24/world/europe/macedonia-afghan-migrant-crisis.html,News,,nyt://article/7543d65d-7547-5c67-a96d-8ad54633c561
