term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Refugee Crisis,“It confirmed in me how powerful those words printed on paper  and the images in between  could be.”,“It confirmed in me how powerful those words printed on paper  and the images in between  could be ” says the artist and human rights activist  whose new book is “Human Flow: Stories From the Global Refugee Crisis.”,“It confirmed in me how powerful those words printed on paper  and the images in between  could be.”,The New York Times,6,In the Cultural Revolution  Ai Weiwei’s Father Burned the Family’s Books,Ai Weiwei,2020-12-31T10:00:03+0000,Books,Books,article,https://www.nytimes.com/2020/12/31/books/review/ai-weiwei-by-the-book-interview.html,News,,nyt://article/88171ef1-638c-5128-9736-ca3aa8ffc3c4
Refugee Crisis,Britain’s split from the European Union took full effect as 2021 began. Here is a guide to what it means  how it came about and what the future might hold.,,Britain’s split from the European Union took full effect as 2021 began. Here is a guide to what it means  how it came about and what the future might hold.,The New York Times,8,What Is Brexit? And What Happens Next?,With Brexit Done  Europe Begins a New Era of Trade,2020-12-24T15:47:14+0000,Foreign,World,article,https://www.nytimes.com/article/brexit-uk-eu-explained.html,News,,nyt://article/9b3b9185-f4e8-5b66-b982-ce059e46598b
Refugee Crisis,Our Graphic Content columnists pick their favorites from a year rich with visual storytelling.,As the assorted pressures of this year weighed down on your Graphic Content columnists  we periodically sought escape in our reading material — but many of our favorite comics titles for 2020 tackled serious matters head on: racism  police violence  the refugee crisis  colonialism  mental illness. There’s some humor to be found in the selections below  which are far-flung in time and space. But what’s most remarkable  in this excruciating year  is how these books — and the medium itself — seem capable of illuminating just about anything.,Our Graphic Content columnists pick their favorites from a year rich with visual storytelling.,The New York Times,,The Best Graphic Novels of 2020,,2020-12-09T10:00:09+0000,BookReview,Books,article,https://www.nytimes.com/2020/12/09/books/review/best-graphic-novels.html,News,,nyt://article/059362ed-8814-5283-83ca-6ff8052c0503
Refugee Crisis,A selection of books published this week; plus  a peek at what our colleagues around the newsroom are reading.,LET US DREAM: The Path to a Better Future  by Pope Francis and Austen Ivereigh. (Simon & Schuster  $26.) The leader of the Roman Catholic Church asks what we can learn from the pandemic  and revisits three crises from his own life.,A selection of books published this week; plus  a peek at what our colleagues around the newsroom are reading.,The New York Times,4,New & Noteworthy  From Schopenhauer to the Pope,New &amp; Noteworthy,2020-12-09T03:42:11+0000,BookReview,Books,article,https://www.nytimes.com/2020/12/08/books/review/new-this-week.html,News,,nyt://article/b620e2d7-2a50-5e76-9f74-bf5e9a82b681
Refugee Crisis,Our critics and writers have selected noteworthy cultural events to experience virtually.,If your children have had their fill of turkey and tradition  you can offer them more exotic fare — the cinematic kind — from nations far away. From Saturday through Dec. 6  the Brooklyn Academy of Music is presenting a cultural tasting menu in the form of the Best of BAMkids Film Festival 2020  an hourlong video-on-demand program of short animated works from 10 countries. For families who couldn’t go to the full festival in February  this virtual event presents 12 highlights to sample at home.,Our critics and writers have selected noteworthy cultural events to experience virtually.,The New York Times,2,5 Things to Do This Weekend,Dessert Time: Things to Do After the Feast,2020-11-26T18:51:17+0000,Weekend,Arts,article,https://www.nytimes.com/2020/11/26/arts/things-to-do-weekend-coronavirus.html,News,,nyt://article/aa0f2991-6ac2-562f-a83b-62f0ada5a909
Refugee Crisis,President Bashar al-Assad said the millions of citizens who fled during the war have been blocked from coming back. But he left out the main reason they are staying away: Mr. al-Assad himself.,BEIRUT  Lebanon — The Syrian government hosted a lavish conference in the capital  Damascus  this week aimed at trying to get the more than six million refugees who fled the country’s civil war to come home.,President Bashar al-Assad said the millions of citizens who fled during the war have been blocked from coming back. But he left out the main reason they are staying away: Mr. al-Assad himself.,The New York Times,,Syria Seeks Return of Refugees  but They Fear Leader’s Wrath,,2020-11-12T22:26:54+0000,Foreign,World,article,https://www.nytimes.com/2020/11/12/world/middleeast/12syria-refugees-assad.html,News,,nyt://article/6b4d9b27-3d11-5df9-8a38-c6a853105d76
Refugee Crisis,A framework for teaching with New York Times 360 V.R. videos  plus eight lesson plans for STEM and the humanities.,In 2015  The New York Times pioneered a new form of storytelling: virtual reality journalism. In an introduction to its first V.R. video  “The Displaced ” a documentary about three children who had been forced from their homes by war and persecution  Jake Silverstein  The New York Times Magazine’s editor  wrote:,A framework for teaching with New York Times 360 V.R. videos  plus eight lesson plans for STEM and the humanities.,The New York Times,,Virtual Reality: Realizing the Power of Experience  Excursion and Immersion in the Classroom,,2020-10-29T19:40:20+0000,Learning,The Learning Network,article,https://www.nytimes.com/2020/10/29/learning/lesson-plans/virtual-reality-realizing-the-power-of-experience-excursion-and-immersion-in-the-classroom.html,News,,nyt://article/f2d9ea45-664d-52cb-846d-d454ff94c77e
Refugee Crisis,Thirty years after Germany came back together  the former East has become the stronghold of a once-marginalized movement that now sits in Parliament.,BERLIN — They called him the “Führer of Berlin.”,Thirty years after Germany came back together  the former East has become the stronghold of a once-marginalized movement that now sits in Parliament.,The New York Times,12,Germany’s Far Right Reunified  Too  Making It Much Stronger,,2020-10-03T04:10:10+0000,Foreign,World,article,https://www.nytimes.com/2020/10/03/world/europe/germany-reunification-far-right.html,News,,nyt://article/a0cd7d62-2e95-5a0c-a19a-33f3c1c75496
Refugee Crisis,Amid pandemics and environmental disasters  designers and architects have been forced to imagine a world in which the only way to move forward is to look back.,AT ITS CORE  design is an inherently futurist medium. In the 1960s  as the writer Maggie Gram has noted  key figures in the Modern design movement often used the word “design” indistinguishably from the word “planning.” This isn’t surprising: Design  like planning  was the profession most concerned with the future. Today is not so different  but what we mean by “the future ” a utopian ideal throughout much of the 20th century  is now undeniably much darker as we progress further into the 21st. To look ahead at what role design will play on an increasingly troubled planet takes us back to the fundamental polysemy behind the word itself. At various times it has encompassed drawing and architecture  products and graphics — in fact  everything short of the creation of the world itself (and  in the risible concept of “intelligent design ” sometimes that  too). Once industrial design became a profession in the early 20th century  the promiscuity of its aims and undefined nature of its objectives meant that designers felt they could do very nearly anything. In its most heroic phase  the mid-20th century  industrial designers gave themselves over to pronouncements that suggested they alone held the key to this savage parade. “What are the boundaries of design?” was the question posed in 1969 to Charles Eames  who  with his partner  Ray  designed chairs  toys  housing  films  exhibitions and  to a certain extent  the very nature of communication. Eames responded  “What are the boundaries of problems?”,Amid pandemics and environmental disasters  designers and architects have been forced to imagine a world in which the only way to move forward is to look back.,The New York Times,,Design for the Future When the Future Is Bleak,,2020-09-28T13:00:12+0000,TStyle,T Magazine,article,https://www.nytimes.com/2020/09/28/t-magazine/design-future-pandemic-climate.html,News,,nyt://article/ec16c822-eff4-55ec-b480-7149956c1520
Refugee Crisis,Delayed by the coronavirus pandemic  Stefan Herheim’s “Ring” cycle  rumored for a future Met Opera season  gets underway in Berlin.,BERLIN — On a warm September afternoon  a startling sound could be heard in a rehearsal room here: a full-size orchestra  playing the second act of Wagner’s “Die Walküre.”,Delayed by the coronavirus pandemic  Stefan Herheim’s “Ring” cycle  rumored for a future Met Opera season  gets underway in Berlin.,The New York Times,3,Full-Scale Wagner Returns to Europe With a Refugee-Theme ‘Walküre’,Refugee Theme Threads a Wagner Return,2020-09-25T09:00:17+0000,Culture,Arts,article,https://www.nytimes.com/2020/09/25/arts/music/wagner-walkure-opera-berlin.html,News,,nyt://article/37436e1d-906e-57bb-a60c-5b421adf9e1e
