term,snippet,lead_paragraph,abstract,source,print_page,headline__main,headline__print_headline,pub_date,news_desk,section_name,document_type,web_url,type_of_material,word_count,_id
Afghanistan Refugee,He told a friend that he would have relished the chance to help end the coronavirus pandemic had he still been active in the field. The virus claimed him instead.,This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here.,He told a friend that he would have relished the chance to help end the coronavirus pandemic had he still been active in the field. The virus claimed him instead.,The New York Times,10,Dr. Michael Davidson  Who Studied Infectious Disease  Dies at 77,Dr. Michael Davidson  77,2020-12-02T15:59:06+0000,Obits,Obituaries,article,https://www.nytimes.com/2020/12/02/obituaries/dr-michael-davidson-dead-coronavirus.html,Obituary (Obit),,nyt://article/0a65c757-2865-56cb-a8fa-94d2ff6a3633
Afghanistan Refugee,“You cannot get near the truth without being there ” he said. Working for British newspapers  he ranged across the Middle East  Bosnia  Northern Ireland and elsewhere.,Robert Fisk  a dauntless journalist who was widely praised by colleagues and competitors alike for relentlessly chronicling the Middle East’s many agonies  but who was also faulted by some critics as insufficiently tough at times on despots  died on Friday in a hospital in Dublin. He was 74.,“You cannot get near the truth without being there ” he said. Working for British newspapers  he ranged across the Middle East  Bosnia  Northern Ireland and elsewhere.,The New York Times,10,Robert Fisk  Intrepid War Correspondent  Dies at 74,Robert Fisk  74  Journalist  Who Chronicled the Unrest In the Mideast and Beyond,2020-11-03T21:31:59+0000,Obits,World,article,https://www.nytimes.com/2020/11/03/world/middleeast/robert-fisk-dead.html,Obituary (Obit),,nyt://article/61c6c39c-315e-5f89-8f03-65e01ce441aa
Afghanistan Refugee,At least 12 people died as thousands crowded a soccer stadium. Many were seeking medical care in Pakistan  which recently eased its pandemic border restrictions.,JALALABAD  Afghanistan — A stampede in a crowded stadium in eastern Afghanistan on Wednesday left at least 12 women dead  officials said. The women were among thousands of people hoping to get visas to enter Pakistan for medical treatment.,At least 12 people died as thousands crowded a soccer stadium. Many were seeking medical care in Pakistan  which recently eased its pandemic border restrictions.,The New York Times,11,Demand for Pakistan Visas Sets Off Deadly Stampede in Afghanistan,Afghan Women Killed In Stampede for Visas  To Travel to Pakistan,2020-10-21T09:25:36+0000,Foreign,World,article,https://www.nytimes.com/2020/10/21/world/asia/afghanistan-stampede-visas-pakistan.html,News,,nyt://article/54caf4e6-6c46-59dd-9236-e317d808baa1
Afghanistan Refugee,Ever wondered how empathetic you are? Consider the advice of these five people who have spent their lives studying  understanding and practicing empathy.,Ever wondered how empathetic you are? Here’s a simple test: Read the news  speak to your boss  ride public transportation  start a conversation with someone who has opposing political views  spend time with your child or spouse  sit in traffic or just spend 20 minutes on Facebook.,Ever wondered how empathetic you are? Consider the advice of these five people who have spent their lives studying  understanding and practicing empathy.,The New York Times,6,5 People Who Can Help You Strengthen Your Empathy Muscle,How to Improve Your Ability to Empathize With Others,2020-10-05T01:30:45+0000,Smarter Living,Smarter Living,article,https://www.nytimes.com/2020/10/04/smarter-living/5-people-who-can-help-you-strengthen-your-empathy-muscle.html,News,,nyt://article/7406b39f-2ea6-56a2-b8b8-715169a154b0
Afghanistan Refugee,Thousands were displaced by fires at Europe’s largest refugee camp on the Greek island of Lesbos this week.,The skeletal metal tent frames  their coverings and contents reduced to ash  poked out of the landscape. A twisted and blackened fan hung from what was once a ceiling. And everywhere  there were people  clinging to small bags of belongings or setting up makeshift beds on the side of the road  uncertain where to turn next.,Thousands were displaced by fires at Europe’s largest refugee camp on the Greek island of Lesbos this week.,The New York Times,,The Fire Compounding Misery at the Lesbos Camp  in Photos,,2020-09-10T16:50:56+0000,Foreign,World,article,https://www.nytimes.com/2020/09/10/world/europe/fire-camp-lesbos-moria-photos.html,News,,nyt://article/7feab276-804d-5490-97ad-30b7aa8877bb
Afghanistan Refugee,Frustrated asylum seekers lit fires this week in protest over lockdowns that worsened cramped and squalid conditions on Lesbos. Now 12 000 migrants are homeless.,ATHENS — The thousands of asylum seekers crammed into Europe’s largest refugee camp  on the Greek island of Lesbos  had for years bridled at their squalid conditions and the endless delays in resolving their fates. Then came the coronavirus and its strict containment measures  which compounded their misery.,Frustrated asylum seekers lit fires this week in protest over lockdowns that worsened cramped and squalid conditions on Lesbos. Now 12 000 migrants are homeless.,The New York Times,11,Pandemic Collides With Europe’s Migrant Crisis to Set Off a Calamity in Greece,A Squalid Refugee Camp. A Pandemic. Then Fires Compound the Misery.,2020-09-10T15:17:25+0000,Foreign,World,article,https://www.nytimes.com/2020/09/10/world/europe/lesbos-fires-coronavirus.html,News,,nyt://article/8435d4a7-daef-50e9-bb7b-00c5e8c21c2a
Afghanistan Refugee,Campaigners have long warned that the overcrowded conditions at the impoverished camp might lead to catastrophe.,Europe’s largest refugee camp  on the Greek island of Lesbos  has long been a desperate makeshift home for thousands of refugees and migrants who have risked everything to flee war and economic hardship for a better life.,Campaigners have long warned that the overcrowded conditions at the impoverished camp might lead to catastrophe.,The New York Times,10,Fire Destroys Most of Europe’s Largest Refugee Camp  on Greek Island of Lesbos,Arson Fire Destroys Most of Europe’s Largest Refugee Camp,2020-09-09T09:43:47+0000,Foreign,World,article,https://www.nytimes.com/2020/09/09/world/europe/fire-refugee-camp-lesbos-moria.html,News,,nyt://article/bca47cb5-f81d-5a59-a63c-8d627f9e1622
Afghanistan Refugee,With the coronavirus still spreading  many choirs are gathering only online. But one London group is cautiously attempting a way forward.,LONDON — On Wednesday night in a community hall here  Matilda James kick-started a rehearsal of the Citizens of the World Choir with an unusual instruction. “Can we really keep our voices down?” she said. “We don’t need to be louder than when we talk.”,With the coronavirus still spreading  many choirs are gathering only online. But one London group is cautiously attempting a way forward.,The New York Times,1,At In-Person Choir Rehearsals  a Balance Between Joyful and Careful,Preaching Caution to the Choirs,2020-09-04T15:28:45+0000,Culture,Arts,article,https://www.nytimes.com/2020/09/04/arts/music/choirs-coronavirus.html,News,,nyt://article/bf70ee8a-229b-5496-b937-0941ef6075cf
Afghanistan Refugee,Earth is overheating. This year is poised to be one of the hottest ever. Millions are already feeling the pain  but the agony of extreme heat is profoundly unequal across the globe.,Earth is overheating. This year is poised to be one of the hottest ever. Millions are already feeling the pain  but the agony of extreme heat is profoundly unequal across the globe.,Earth is overheating. This year is poised to be one of the hottest ever. Millions are already feeling the pain  but the agony of extreme heat is profoundly unequal across the globe.,The New York Times,,Here's What Extreme Heat Looks Like: Profoundly Unequal,,2020-08-06T19:08:00+0000,Climate,Climate,multimedia,https://www.nytimes.com/interactive/2020/08/06/climate/climate-change-inequality-heat.html,Interactive Feature,,nyt://interactive/dea5c6d3-4d5b-50f1-b4b2-cbc0f0463d57
Afghanistan Refugee,He fled Iran’s Revolutionary Guard. He exposed Australia’s offshore detention camps — from the inside. He survived  stateless  for seven years. What’s next?,To hear more audio stories from publishers like The New York Times  download Audm for iPhone or Android.,He fled Iran’s Revolutionary Guard. He exposed Australia’s offshore detention camps — from the inside. He survived  stateless  for seven years. What’s next?,The New York Times,34,Behrouz Boochani Just Wants to Be Free,Solitary Soul,2020-08-04T09:00:25+0000,Magazine,Magazine,article,https://www.nytimes.com/2020/08/04/magazine/behrouz-boochani-australia.html,News,,nyt://article/04ea3ad3-b900-54fc-adff-c276db5adbfe
